temperatura,tiempo,fecha,hora,minutos
61.97050094604492,2024-03-11 12:06:38+03:00,2024-03-11,12,0
62.86061477661133,2024-03-11 12:36:38+03:00,2024-03-11,12,30
63.33348083496094,2024-03-11 13:06:38+03:00,2024-03-11,13,0
59.83592224121094,2024-03-11 13:36:38+03:00,2024-03-11,13,30
60.338626861572266,2024-03-11 14:06:38+03:00,2024-03-11,14,0
58.49569320678711,2024-03-11 14:36:38+03:00,2024-03-11,14,30
57.490787506103516,2024-03-11 15:06:38+03:00,2024-03-11,15,0
56.0,2024-03-11 15:36:38+03:00,2024-03-11,15,30
55.5,2024-03-11 16:06:38+03:00,2024-03-11,16,0
52.78178787231445,2024-03-11 16:36:38+03:00,2024-03-11,16,30
53.53258514404297,2024-03-11 17:06:38+03:00,2024-03-11,17,0
52.10895538330078,2024-03-11 17:36:38+03:00,2024-03-11,17,30
50.80082702636719,2024-03-11 18:06:38+03:00,2024-03-11,18,0
50.58615493774414,2024-03-11 18:36:38+03:00,2024-03-11,18,30
50.315677642822266,2024-03-11 19:06:38+03:00,2024-03-11,19,0
49.599998474121094,2024-03-11 19:36:38+03:00,2024-03-11,19,30
49.599998474121094,2024-03-11 20:06:38+03:00,2024-03-11,20,0
50.93719482421875,2024-03-11 20:36:38+03:00,2024-03-11,20,30
49.821815490722656,2024-03-11 21:06:38+03:00,2024-03-11,21,0
51.168251037597656,2024-03-11 21:36:38+03:00,2024-03-11,21,30
51.36157989501953,2024-03-11 22:06:38+03:00,2024-03-11,22,0
51.30389404296875,2024-03-11 22:36:38+03:00,2024-03-11,22,30
51.246212005615234,2024-03-11 23:06:38+03:00,2024-03-11,23,0
51.146854400634766,2024-03-11 23:36:38+03:00,2024-03-11,23,30
50.87963104248047,2024-03-12 00:06:38+03:00,2024-03-12,0,0
50.21349334716797,2024-03-12 00:36:38+03:00,2024-03-12,0,30
46.213043212890625,2024-03-12 01:06:38+03:00,2024-03-12,1,0
46.64577865600586,2024-03-12 01:36:38+03:00,2024-03-12,1,30
47.633331298828125,2024-03-12 02:06:38+03:00,2024-03-12,2,0
47.67376708984375,2024-03-12 02:36:38+03:00,2024-03-12,2,30
47.68647384643555,2024-03-12 03:06:38+03:00,2024-03-12,3,0
47.80502700805664,2024-03-12 03:36:38+03:00,2024-03-12,3,30
47.89081573486328,2024-03-12 04:06:38+03:00,2024-03-12,4,0
47.47991180419922,2024-03-12 04:36:38+03:00,2024-03-12,4,30
47.31991195678711,2024-03-12 05:06:38+03:00,2024-03-12,5,0
46.563438415527344,2024-03-12 05:36:38+03:00,2024-03-12,5,30
41.83987808227539,2024-03-12 06:06:38+03:00,2024-03-12,6,0
39.19040298461914,2024-03-12 06:36:38+03:00,2024-03-12,6,30
39.022647857666016,2024-03-12 07:06:38+03:00,2024-03-12,7,0
37.10169219970703,2024-03-12 07:36:38+03:00,2024-03-12,7,30
37.1444091796875,2024-03-12 08:06:38+03:00,2024-03-12,8,0
36.7773551940918,2024-03-12 08:36:38+03:00,2024-03-12,8,30
37.20912170410156,2024-03-12 09:06:38+03:00,2024-03-12,9,0
37.35312271118164,2024-03-12 09:36:38+03:00,2024-03-12,9,30
39.69699478149414,2024-03-12 10:06:38+03:00,2024-03-12,10,0
41.607425689697266,2024-03-12 10:36:38+03:00,2024-03-12,10,30
42.74449920654297,2024-03-12 11:06:38+03:00,2024-03-12,11,0
44.631160736083984,2024-03-12 11:36:38+03:00,2024-03-12,11,30
46.073856353759766,2024-03-12 12:06:38+03:00,2024-03-12,12,0
47.38629150390625,2024-03-12 12:36:38+03:00,2024-03-12,12,30
48.611331939697266,2024-03-12 13:06:38+03:00,2024-03-12,13,0
49.1628303527832,2024-03-12 13:36:38+03:00,2024-03-12,13,30
49.85047912597656,2024-03-12 14:06:38+03:00,2024-03-12,14,0
